color,red,green,blue
red,0.273,0.121,0.136
red,0.281,0.125,0.125
red,0.29,0.113,0.129
red,0.29,0.113,0.129
red,0.29,0.113,0.129
red,0.279,0.115,0.131
red,0.295,0.115,0.115
red,0.29,0.113,0.129
red,0.262,0.123,0.138
red,0.295,0.115,0.131
red,0.288,0.119,0.119
red,0.286,0.127,0.127
red,0.25,0.132,0.147
red,0.295,0.115,0.131
red,0.271,0.119,0.119
red,0.295,0.115,0.131
red,0.261,0.13,0.145
red,0.29,0.113,0.129
red,0.288,0.119,0.119
red,0.288,0.119,0.119
red,0.279,0.115,0.131
red,0.266,0.125,0.141
red,0.279,0.115,0.131
red,0.3,0.117,0.117
red,0.265,0.132,0.147
red,0.279,0.115,0.131
red,0.288,0.119,0.119
red,0.29,0.113,0.129
red,0.262,0.123,0.138
red,0.261,0.13,0.145
red,0.3,0.117,0.117
red,0.279,0.115,0.131
red,0.261,0.13,0.145
red,0.279,0.115,0.131
red,0.273,0.121,0.121
red,0.237,0.138,0.138
red,0.24,0.133,0.133
red,0.295,0.115,0.115
red,0.29,0.113,0.129
red,0.262,0.123,0.138
red,0.281,0.125,0.125
red,0.288,0.119,0.119
red,0.3,0.117,0.117
red,0.279,0.115,0.131
red,0.27,0.111,0.127
red,0.279,0.115,0.131
red,0.29,0.113,0.129
red,0.29,0.113,0.129
red,0.29,0.113,0.129
red,0.29,0.113,0.129
green,0.115,0.231,0.192
green,0.115,0.231,0.192
green,0.115,0.231,0.192
green,0.12,0.24,0.2
green,0.12,0.24,0.2
green,0.115,0.231,0.192
green,0.111,0.222,0.185
green,0.103,0.241,0.172
green,0.111,0.222,0.185
green,0.115,0.231,0.192
green,0.111,0.222,0.185
green,0.1,0.233,0.2
green,0.125,0.219,0.188
green,0.1,0.233,0.2
green,0.111,0.222,0.185
green,0.111,0.222,0.185
green,0.111,0.222,0.185
green,0.097,0.226,0.194
green,0.1,0.233,0.2
green,0.115,0.231,0.192
green,0.1,0.233,0.2
green,0.118,0.235,0.176
green,0.121,0.242,0.182
green,0.1,0.233,0.2
green,0.111,0.222,0.185
green,0.1,0.233,0.2
green,0.097,0.226,0.194
green,0.114,0.229,0.2
green,0.1,0.233,0.2
green,0.103,0.241,0.207
green,0.115,0.231,0.192
green,0.111,0.222,0.185
green,0.097,0.226,0.194
green,0.097,0.226,0.194
green,0.111,0.222,0.185
green,0.111,0.222,0.185
green,0.111,0.222,0.185
green,0.1,0.233,0.2
green,0.097,0.226,0.194
green,0.118,0.235,0.176
green,0.1,0.233,0.2
green,0.111,0.222,0.185
green,0.111,0.222,0.185
green,0.1,0.233,0.2
green,0.1,0.233,0.2
green,0.1,0.233,0.2
green,0.125,0.219,0.188
green,0.118,0.235,0.176
green,0.125,0.219,0.188
green,0.097,0.226,0.194
blue,0.286,0.111,0.127
blue,0.29,0.113,0.129
blue,0.295,0.115,0.131
blue,0.29,0.113,0.129
blue,0.29,0.113,0.129
blue,0.295,0.115,0.115
blue,0.274,0.113,0.129
blue,0.293,0.121,0.121
blue,0.283,0.117,0.133
blue,0.266,0.125,0.141
blue,0.283,0.117,0.117
blue,0.269,0.119,0.119
blue,0.279,0.115,0.131
blue,0.277,0.123,0.138
blue,0.288,0.119,0.119
blue,0.276,0.121,0.121
blue,0.274,0.129,0.129
blue,0.288,0.119,0.119
blue,0.288,0.119,0.119
blue,0.279,0.115,0.131
blue,0.288,0.119,0.119
blue,0.283,0.117,0.117
blue,0.279,0.115,0.131
blue,0.279,0.115,0.131
blue,0.271,0.119,0.119
blue,0.279,0.115,0.131
blue,0.279,0.115,0.131
blue,0.271,0.119,0.119
blue,0.288,0.119,0.119
blue,0.295,0.115,0.131
blue,0.29,0.113,0.129
blue,0.29,0.113,0.129
blue,0.288,0.119,0.119
blue,0.288,0.119,0.119
blue,0.276,0.121,0.121
blue,0.288,0.119,0.119
blue,0.29,0.113,0.129
blue,0.279,0.115,0.131
blue,0.295,0.115,0.131
blue,0.288,0.119,0.119
blue,0.279,0.115,0.115
blue,0.288,0.119,0.119
blue,0.3,0.117,0.117
blue,0.29,0.113,0.129
blue,0.279,0.115,0.131
blue,0.295,0.115,0.131
blue,0.288,0.119,0.119
blue,0.281,0.109,0.125
blue,0.283,0.117,0.117
blue,0.288,0.119,0.119
