red,green,blue,color
300,100,125,Iris-setosa
300,100,125,Iris-setosa
308,103,128,Iris-setosa
308,103,128,Iris-setosa
308,103,128,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
308,103,128,Iris-setosa
308,103,128,Iris-setosa
300,100,125,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
297,108,135,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
308,103,128,Iris-setosa
308,103,128,Iris-setosa
300,100,125,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
297,108,135,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
308,103,128,Iris-setosa
300,100,125,Iris-setosa
300,100,125,Iris-setosa
289,105,132,Iris-setosa
297,108,135,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
297,108,135,Iris-setosa
306,111,111,Iris-setosa
282,103,128,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
308,103,128,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
289,105,132,Iris-setosa
297,108,135,Iris-setosa
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
100,200,200,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,273,Iris-versicolor
83,167,250,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
77,231,231,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,273,Iris-versicolor
91,182,182,Iris-versicolor
83,167,250,Iris-versicolor
91,182,182,Iris-versicolor
77,231,231,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
91,182,182,Iris-versicolor
111,194,222,Iris-virginica
111,194,222,Iris-virginica
86,200,229,Iris-virginica
94,188,219,Iris-virginica
94,188,219,Iris-virginica
97,194,226,Iris-virginica
125,188,219,Iris-virginica
97,194,226,Iris-virginica
108,189,216,Iris-virginica
108,189,216,Iris-virginica
97,194,226,Iris-virginica
97,194,226,Iris-virginica
108,189,216,Iris-virginica
100,200,200,Iris-virginica
108,189,216,Iris-virginica
94,188,219,Iris-virginica
121,182,212,Iris-virginica
108,189,216,Iris-virginica
103,205,205,Iris-virginica
111,194,222,Iris-virginica
97,194,226,Iris-virginica
125,188,219,Iris-virginica
111,194,222,Iris-virginica
108,189,216,Iris-virginica
108,189,216,Iris-virginica
97,194,226,Iris-virginica
97,194,226,Iris-virginica
111,194,222,Iris-virginica
105,184,211,Iris-virginica
108,189,216,Iris-virginica
94,188,219,Iris-virginica
97,194,226,Iris-virginica
108,189,216,Iris-virginica
98,195,220,Iris-virginica
91,182,242,Iris-virginica
97,194,226,Iris-virginica
108,189,216,Iris-virginica
103,205,205,Iris-virginica
111,194,222,Iris-virginica
100,200,233,Iris-virginica
97,194,226,Iris-virginica
108,189,216,Iris-virginica
103,205,205,Iris-virginica
91,182,242,Iris-virginica
97,194,226,Iris-virginica
91,182,242,Iris-virginica
103,205,205,Iris-virginica
108,189,216,Iris-virginica
97,194,226,Iris-virginica
97,194,226,Iris-virginica
