color,red,green,blue
2,0.273,0.121,0.136,0.470
2,0.281,0.125,0.125,0.469
2,0.290,0.113,0.129,0.468
2,0.290,0.113,0.129,0.468
2,0.290,0.113,0.129,0.468
2,0.279,0.115,0.131,0.475
2,0.295,0.115,0.115,0.475
2,0.290,0.113,0.129,0.468
2,0.262,0.123,0.138,0.477
2,0.295,0.115,0.131,0.459
2,0.288,0.119,0.119,0.475
2,0.286,0.127,0.127,0.460
2,0.250,0.132,0.147,0.471
2,0.295,0.115,0.131,0.459
2,0.271,0.119,0.119,0.492
2,0.295,0.115,0.131,0.459
2,0.261,0.130,0.145,0.464
2,0.290,0.113,0.129,0.468
2,0.288,0.119,0.119,0.475
2,0.288,0.119,0.119,0.475
2,0.279,0.115,0.131,0.475
2,0.266,0.125,0.141,0.469
2,0.279,0.115,0.131,0.475
2,0.300,0.117,0.117,0.467
2,0.265,0.132,0.147,0.456
2,0.279,0.115,0.131,0.475
2,0.288,0.119,0.119,0.475
2,0.290,0.113,0.129,0.468
2,0.262,0.123,0.138,0.477
2,0.261,0.130,0.145,0.464
2,0.300,0.117,0.117,0.467
2,0.279,0.115,0.131,0.475
2,0.261,0.130,0.145,0.464
2,0.279,0.115,0.131,0.475
2,0.273,0.121,0.121,0.485
2,0.237,0.138,0.138,0.488
2,0.240,0.133,0.133,0.493
2,0.295,0.115,0.115,0.475
2,0.290,0.113,0.129,0.468
2,0.262,0.123,0.138,0.477
2,0.281,0.125,0.125,0.469
2,0.288,0.119,0.119,0.475
2,0.300,0.117,0.117,0.467
2,0.279,0.115,0.131,0.475
2,0.270,0.111,0.127,0.492
2,0.279,0.115,0.131,0.475
2,0.290,0.113,0.129,0.468
2,0.290,0.113,0.129,0.468
2,0.290,0.113,0.129,0.468
2,0.290,0.113,0.129,0.468
3,0.115,0.231,0.192,0.462
3,0.115,0.231,0.192,0.462
3,0.115,0.231,0.192,0.462
3,0.120,0.240,0.200,0.440
3,0.120,0.240,0.200,0.440
3,0.115,0.231,0.192,0.462
3,0.111,0.222,0.185,0.481
3,0.103,0.241,0.172,0.483
3,0.111,0.222,0.185,0.481
3,0.115,0.231,0.192,0.462
3,0.111,0.222,0.185,0.481
3,0.100,0.233,0.200,0.467
3,0.125,0.219,0.188,0.469
3,0.100,0.233,0.200,0.467
3,0.111,0.222,0.185,0.481
3,0.111,0.222,0.185,0.481
3,0.111,0.222,0.185,0.481
3,0.097,0.226,0.194,0.484
3,0.100,0.233,0.200,0.467
3,0.115,0.231,0.192,0.462
3,0.100,0.233,0.200,0.467
3,0.118,0.235,0.176,0.471
3,0.121,0.242,0.182,0.455
3,0.100,0.233,0.200,0.467
3,0.111,0.222,0.185,0.481
3,0.100,0.233,0.200,0.467
3,0.097,0.226,0.194,0.484
3,0.114,0.229,0.200,0.457
3,0.100,0.233,0.200,0.467
3,0.103,0.241,0.207,0.448
3,0.115,0.231,0.192,0.462
3,0.111,0.222,0.185,0.481
3,0.097,0.226,0.194,0.484
3,0.097,0.226,0.194,0.484
3,0.111,0.222,0.185,0.481
3,0.111,0.222,0.185,0.481
3,0.111,0.222,0.185,0.481
3,0.100,0.233,0.200,0.467
3,0.097,0.226,0.194,0.484
3,0.118,0.235,0.176,0.471
3,0.100,0.233,0.200,0.467
3,0.111,0.222,0.185,0.481
3,0.111,0.222,0.185,0.481
3,0.100,0.233,0.200,0.467
3,0.100,0.233,0.200,0.467
3,0.100,0.233,0.200,0.467
3,0.125,0.219,0.188,0.469
3,0.118,0.235,0.176,0.471
3,0.125,0.219,0.188,0.469
3,0.097,0.226,0.194,0.484
4,0.286,0.111,0.127,0.476
4,0.290,0.113,0.129,0.468
4,0.295,0.115,0.131,0.459
4,0.290,0.113,0.129,0.468
4,0.290,0.113,0.129,0.468
4,0.295,0.115,0.115,0.475
4,0.274,0.113,0.129,0.484
4,0.293,0.121,0.121,0.466
4,0.283,0.117,0.133,0.467
4,0.266,0.125,0.141,0.469
4,0.283,0.117,0.117,0.483
4,0.269,0.119,0.119,0.493
4,0.279,0.115,0.131,0.475
4,0.277,0.123,0.138,0.462
4,0.288,0.119,0.119,0.475
4,0.276,0.121,0.121,0.483
4,0.274,0.129,0.129,0.468
4,0.288,0.119,0.119,0.475
4,0.288,0.119,0.119,0.475
4,0.279,0.115,0.131,0.475
4,0.288,0.119,0.119,0.475
4,0.283,0.117,0.117,0.483
4,0.279,0.115,0.131,0.475
4,0.279,0.115,0.131,0.475
4,0.271,0.119,0.119,0.492
4,0.279,0.115,0.131,0.475
4,0.279,0.115,0.131,0.475
4,0.271,0.119,0.119,0.492
4,0.288,0.119,0.119,0.475
4,0.295,0.115,0.131,0.459
4,0.290,0.113,0.129,0.468
4,0.290,0.113,0.129,0.468
4,0.288,0.119,0.119,0.475
4,0.288,0.119,0.119,0.475
4,0.276,0.121,0.121,0.483
4,0.288,0.119,0.119,0.475
4,0.290,0.113,0.129,0.468
4,0.279,0.115,0.131,0.475
4,0.295,0.115,0.131,0.459
4,0.288,0.119,0.119,0.475
4,0.279,0.115,0.115,0.492
4,0.288,0.119,0.119,0.475
4,0.300,0.117,0.117,0.467
4,0.290,0.113,0.129,0.468
4,0.279,0.115,0.131,0.475
4,0.295,0.115,0.131,0.459
4,0.288,0.119,0.119,0.475
4,0.281,0.109,0.125,0.484
4,0.283,0.117,0.117,0.483
4,0.288,0.119,0.119,0.475
