petal.length,petal.width,sepal.length,sepal.width,variety
1.23,0.2,5.1,3.5,red
1.4,0.2,4.9,3.0,red
1.3,0.2,4.7,3.2,red
1.5,0.2,4.6,3.1,red
1.4,0.2,5.0,3.6,red
1.7,0.4,5.4,3.9,red
1.4,0.3,4.6,3.4,red
1.5,0.2,5.0,3.4,red
1.4,0.2,4.4,2.9,red
1.5,0.1,4.9,3.1,red
1.5,0.2,5.4,3.7,red
1.6,0.2,4.8,3.4,red
1.4,0.1,4.8,3.0,red
1.1,0.1,4.3,3.0,red
1.2,0.2,5.8,4.0,red
1.5,0.4,5.7,4.4,red
1.3,0.4,5.4,3.9,red
1.4,0.3,5.1,3.5,red
1.7,0.3,5.7,3.8,red
1.5,0.3,5.1,3.8,red
1.7,0.2,5.4,3.4,red
1.5,0.4,5.1,3.7,red
1.0,0.2,4.6,3.6,red
1.7,0.5,5.1,3.3,red
1.9,0.2,4.8,3.4,red
1.6,0.2,5.0,3.0,red
1.6,0.4,5.0,3.4,red
1.5,0.2,5.2,3.5,red
1.4,0.2,5.2,3.4,red
1.6,0.2,4.7,3.2,red
1.6,0.2,4.8,3.1,red
1.5,0.4,5.4,3.4,red
1.5,0.1,5.2,4.1,red
1.4,0.2,5.5,4.2,red
1.5,0.2,4.9,3.1,red
1.2,0.2,5.0,3.2,red
1.3,0.2,5.5,3.5,red
1.4,0.1,4.9,3.6,red
1.3,0.2,4.4,3.0,red
1.5,0.2,5.1,3.4,red
1.3,0.3,5.0,3.5,red
1.3,0.3,4.5,2.3,red
1.3,0.2,4.4,3.2,red
1.6,0.6,5.0,3.5,red
1.9,0.4,5.1,3.8,red
1.4,0.3,4.8,3.0,red
1.6,0.2,5.1,3.8,red
1.4,0.2,4.6,3.2,red
1.5,0.2,5.3,3.7,red
1.4,0.2,5.0,3.3,red
4.7,1.4,7.0,3.2,green
4.5,1.5,6.4,3.2,green
4.9,1.5,6.9,3.1,green
4.0,1.3,5.5,2.3,green
4.6,1.5,6.5,2.8,green
4.5,1.3,5.7,2.8,green
4.7,1.6,6.3,3.3,green
3.3,1.0,4.9,2.4,green
4.6,1.3,6.6,2.9,green
3.9,1.4,5.2,2.7,green
3.5,1.0,5.0,2.0,green
4.2,1.5,5.9,3.0,green
4.0,1.0,6.0,2.2,green
4.7,1.4,6.1,2.9,green
3.6,1.3,5.6,2.9,green
4.4,1.4,6.7,3.1,green
4.5,1.5,5.6,3.0,green
4.1,1.0,5.8,2.7,green
4.5,1.5,6.2,2.2,green
3.9,1.1,5.6,2.5,green
4.8,1.8,5.9,3.2,green
4.0,1.3,6.1,2.8,green
4.9,1.5,6.3,2.5,green
4.7,1.2,6.1,2.8,green
4.3,1.3,6.4,2.9,green
4.4,1.4,6.6,3.0,green
4.8,1.4,6.8,2.8,green
5.0,1.7,6.7,3.0,green
4.5,1.5,6.0,2.9,green
3.5,1.0,5.7,2.6,green
3.8,1.1,5.5,2.4,green
3.7,1.0,5.5,2.4,green
3.9,1.2,5.8,2.7,green
5.1,1.6,6.0,2.7,green
4.5,1.5,5.4,3.0,green
4.5,1.6,6.0,3.4,green
4.7,1.5,6.7,3.1,green
4.4,1.3,6.3,2.3,green
4.1,1.3,5.6,3.0,green
4.0,1.3,5.5,2.5,green
4.4,1.2,5.5,2.6,green
4.6,1.4,6.1,3.0,green
4.0,1.2,5.8,2.6,green
3.3,1.0,5.0,2.3,green
4.2,1.3,5.6,2.7,green
4.2,1.2,5.7,3.0,green
4.2,1.3,5.7,2.9,green
4.3,1.3,6.2,2.9,green
3.0,1.1,5.1,2.5,green
4.1,1.3,5.7,2.8,green
6.0,2.5,6.3,3.3,blue
5.1,1.9,5.8,2.7,blue
5.9,2.1,7.1,3.0,blue
5.6,1.8,6.3,2.9,blue
5.8,2.2,6.5,3.0,blue
6.6,2.1,7.6,3.0,blue
4.5,1.7,4.9,2.5,blue
6.3,1.8,7.3,2.9,blue
5.8,1.8,6.7,2.5,blue
6.1,2.5,7.2,3.6,blue
5.1,2.0,6.5,3.2,blue
5.3,1.9,6.4,2.7,blue
5.5,2.1,6.8,3.0,blue
5.0,2.0,5.7,2.5,blue
5.1,2.4,5.8,2.8,blue
5.3,2.3,6.4,3.2,blue
5.5,1.8,6.5,3.0,blue
6.7,2.2,7.7,3.8,blue
6.9,2.3,7.7,2.6,blue
5.0,1.5,6.0,2.2,blue
5.7,2.3,6.9,3.2,blue
4.9,2.0,5.6,2.8,blue
6.7,2.0,7.7,2.8,blue
4.9,1.8,6.3,2.7,blue
5.7,2.1,6.7,3.3,blue
6.0,1.8,7.2,3.2,blue
4.8,1.8,6.2,2.8,blue
4.9,1.8,6.1,3.0,blue
5.6,2.1,6.4,2.8,blue
5.8,1.6,7.2,3.0,blue
6.1,1.9,7.4,2.8,blue
6.4,2.0,7.9,3.8,blue
5.6,2.2,6.4,2.8,blue
5.1,1.5,6.3,2.8,blue
5.6,1.4,6.1,2.6,blue
6.1,2.3,7.7,3.0,blue
5.6,2.4,6.3,3.4,blue
5.5,1.8,6.4,3.1,blue
4.8,1.8,6.0,3.0,blue
5.4,2.1,6.9,3.1,blue
5.6,2.4,6.7,3.1,blue
5.1,2.3,6.9,3.1,blue
5.1,1.9,5.8,2.7,blue
5.9,2.3,6.8,3.2,blue
5.7,2.5,6.7,3.3,blue
5.2,2.3,6.7,3.0,blue
5.0,1.9,6.3,2.5,blue
5.2,2.0,6.5,3.0,blue
5.4,2.3,6.2,3.4,blue
5.1,1.8,5.9,3.0,blue
