red,green,blue,clear,colorete
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.2,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.2,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.2,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,1
0.3,0.1,0.1,0.5,2
0.3,0.1,0.1,0.5,2
0.3,0.1,0.1,0.5,2
0.3,0.1,0.1,0.5,2
0.3,0.1,0.1,0.5,2
0.3,0.1,0.1,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.1,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.2,0.5,2
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.2,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.2,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.2,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.2,0.5,3
0.1,0.2,0.2,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
0.1,0.2,0.3,0.5,3
