    red,    green,    blue,    color
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
0.3,0.1,0.1,1
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
"0.1,0.2,0.2,""    red"""
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.2,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.2,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
0.1,0.2,0.3,    green
